Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise AbsVals,Revenue - Actual,Market Capitalization,Earnings Per Share – Coefficient of Variation,loss firm status
BBWI.N,2019-01-01,Retailing,1.430789601006442,-0.0987296383485509,-0.3596987760120609,-0.2434897675565896,-1
BBWI.N,2019-07-01,Retailing,3.152693286407753,-0.2628507714918721,-0.36617275203771,0.1569907861454531,-1
BBWI.N,2019-10-01,Retailing,1.588418545210025,-0.2817627573889458,-0.381095391404716,6.370967392282285,1
BBWI.N,2020-01-01,Retailing,0.8171331603409366,-0.1109428282391888,-0.3684026604799982,-0.2838743335268689,1
BBWI.N,2021-01-01,Retailing,1.610037732506068,-0.1016211511017151,-0.3281469079105356,-0.0372898138371961,-1
BBWI.N,2021-04-01,Retailing,1.390286382389428,-0.2525731931672398,-0.270661856762716,-0.0024618348352791,-1
BBWI.N,2021-07-01,Retailing,4.210333396669106,-0.2278491564241467,-0.2476548885289249,0.2822269610480453,-1
BBWI.N,2021-10-01,Retailing,3.971819048774112,-0.3655443583414467,-0.2715909457900115,-0.0328974565353286,-1
BBWI.N,2022-01-01,Retailing,0.8381129508101312,-0.2522615703898032,-0.3057128491004303,-0.2910212310145512,-1
BBWI.N,2022-04-01,Retailing,3.1145370093192413,-0.3849782955644429,-0.3177166178095355,-0.1044260270683371,-1
BBWI.N,2022-07-01,Retailing,2.891482252180192,-0.3708784585938868,-0.3543154710760724,0.4048345513310718,-1
BBWI.N,2022-10-01,Retailing,4.637201656818755,-0.3719757005656278,-0.3580546958872609,0.7298117324997229,-1
NVR.N,2013-01-01,Consumer Durables & Apparel,2.208823713179571,-0.4291091792134872,-0.3837633766591156,-0.0818124778503255,-1
NVR.N,2013-04-01,Consumer Durables & Apparel,2.740840023925201,-0.4437896912407029,-0.3766170270707563,0.006826565142297,-1
NVR.N,2013-07-01,Consumer Durables & Apparel,2.822568654544802,-0.4234852462212335,-0.3831744382001202,-0.1086088165219003,-1
NVR.N,2013-10-01,Consumer Durables & Apparel,2.8221523966967914,-0.4087298572307568,-0.3865507085185035,-0.1650356042491623,-1
NVR.N,2014-01-01,Consumer Durables & Apparel,3.437561454398081,-0.4040005777523425,-0.3835344816379291,0.0310711039457726,-1
NVR.N,2014-04-01,Consumer Durables & Apparel,3.9017100088197023,-0.4387046199896701,-0.3785977108326915,0.1023248038884986,-1
NVR.N,2014-07-01,Consumer Durables & Apparel,1.0834986508580615,-0.4142439145892813,-0.3810972747327112,0.3917485673684727,-1
NVR.N,2014-10-01,Consumer Durables & Apparel,0.7314058926770358,-0.4055253755974456,-0.3822338726468829,0.0402209011347491,-1
NVR.N,2015-01-01,Consumer Durables & Apparel,1.5731887797589794,-0.3960948324032756,-0.3785161838292833,-0.0606559583473952,-1
NVR.N,2015-04-01,Consumer Durables & Apparel,2.061022956155818,-0.426384499064982,-0.3766062656253591,0.2171476177877216,-1
NVR.N,2015-07-01,Consumer Durables & Apparel,2.709249481677692,-0.4023326723628497,-0.3762096095009832,-0.1558446153546878,-1
NVR.N,2015-10-01,Consumer Durables & Apparel,1.0152306797290584,-0.3889795017394185,-0.3710923273822665,-0.096150406796966,-1
NVR.N,2016-01-01,Consumer Durables & Apparel,2.1466327912201595,-0.376113788559958,-0.3681951149180453,-0.1320590956518095,-1
NVR.N,2016-04-01,Consumer Durables & Apparel,1.8837307477668648,-0.410712750654462,-0.3655935205013824,0.1159410738037367,-1
NVR.N,2016-07-01,Consumer Durables & Apparel,2.796061078424924,-0.3901714756893975,-0.3640393838212478,-0.212747754470921,-1
NVR.N,2016-10-01,Consumer Durables & Apparel,1.4772770088317615,-0.3773362180837578,-0.368519248877753,-0.0951263708099352,-1
