Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
LMT.N,2019-10-01,Capital Goods,12.718242232697452,12.718242232697452
LMT.N,2020-01-01,Capital Goods,5.203077736920717,5.203077736920717
LMT.N,2020-04-01,Capital Goods,4.833550874446308,4.833550874446308
LMT.N,2020-07-01,Capital Goods,7.1461032378049145,7.1461032378049145
LMT.N,2020-10-01,Capital Goods,2.6154629188763194,2.6154629188763194
LMT.N,2021-01-01,Capital Goods,0.7346141911057259,0.7346141911057259
LMT.N,2021-04-01,Capital Goods,2.773781900712286,2.773781900712286
LMT.N,2021-07-01,Capital Goods,9.120683190364328,9.120683190364328
LMT.N,2021-10-01,Capital Goods,11.938975530443848,11.938975530443848
LMT.N,2022-01-01,Capital Goods,4.355260510963583,4.355260510963583
LMT.N,2022-04-01,Capital Goods,3.752823397872747,3.752823397872747
LMT.N,2022-07-01,Capital Goods,-33.123864979389474,33.123864979389474
LMT.N,2022-10-01,Capital Goods,0.7363814470908844,0.7363814470908844
MKTX.OQ,2013-01-01,Diversified Financials,1.4084507042253531,1.4084507042253531
MKTX.OQ,2013-04-01,Diversified Financials,10.810810810810803,10.810810810810803
MKTX.OQ,2013-07-01,Diversified Financials,12.169265621219784,12.169265621219784
MKTX.OQ,2013-10-01,Diversified Financials,12.412177985948476,12.412177985948476
MKTX.OQ,2014-01-01,Diversified Financials,-2.1479713603818635,2.1479713603818635
MKTX.OQ,2014-04-01,Diversified Financials,1.1722787956100031,1.1722787956100031
MKTX.OQ,2014-07-01,Diversified Financials,4.728034385704616,4.728034385704616
MKTX.OQ,2014-10-01,Diversified Financials,-2.994517081400251,2.994517081400251
MKTX.OQ,2015-01-01,Diversified Financials,9.82658959537571,9.82658959537571
MKTX.OQ,2015-04-01,Diversified Financials,1.1515717398070453,1.1515717398070453
MKTX.OQ,2015-07-01,Diversified Financials,0.7556675062972333,0.7556675062972333
MKTX.OQ,2015-10-01,Diversified Financials,-2.6921829386960847,2.6921829386960847
MKTX.OQ,2016-01-01,Diversified Financials,4.333868378812203,4.333868378812203
MKTX.OQ,2016-04-01,Diversified Financials,-1.8107625605712816,1.8107625605712816
MKTX.OQ,2016-07-01,Diversified Financials,3.5696211470335504,3.5696211470335504
MKTX.OQ,2016-10-01,Diversified Financials,5.6020605280103,5.6020605280103
MKTX.OQ,2017-01-01,Diversified Financials,4.549072721008429,4.549072721008429
MKTX.OQ,2017-04-01,Diversified Financials,15.86638830897705,15.86638830897705
MKTX.OQ,2017-07-01,Diversified Financials,8.932461873638339,8.932461873638339
MKTX.OQ,2017-10-01,Diversified Financials,0.1780943900267192,0.1780943900267192
MKTX.OQ,2018-01-01,Diversified Financials,37.096774193548384,37.096774193548384
MKTX.OQ,2018-04-01,Diversified Financials,3.814996771108367,3.814996771108367
MKTX.OQ,2018-07-01,Diversified Financials,2.8846153846153872,2.8846153846153872
MKTX.OQ,2018-10-01,Diversified Financials,9.290788500894692,9.290788500894692
MKTX.OQ,2019-01-01,Diversified Financials,4.631455155477159,4.631455155477159
MKTX.OQ,2019-04-01,Diversified Financials,1.090909090909084,1.090909090909084
MKTX.OQ,2019-07-01,Diversified Financials,-3.761631960231572,3.761631960231572
MKTX.OQ,2019-10-01,Diversified Financials,2.292209943955392,2.292209943955392
MKTX.OQ,2020-01-01,Diversified Financials,1.701967008498291,1.701967008498291
MKTX.OQ,2020-04-01,Diversified Financials,3.0299207300405766,3.0299207300405766
MKTX.OQ,2020-07-01,Diversified Financials,3.938317333131772,3.938317333131772
MKTX.OQ,2020-10-01,Diversified Financials,2.166738412971729,2.166738412971729
MKTX.OQ,2021-01-01,Diversified Financials,4.101376209292809,4.101376209292809
MKTX.OQ,2021-04-01,Diversified Financials,-0.7721898778228243,0.7721898778228243
MKTX.OQ,2021-07-01,Diversified Financials,4.582732622722228,4.582732622722228
MKTX.OQ,2021-10-01,Diversified Financials,4.1966574809087085,4.1966574809087085
MKTX.OQ,2022-01-01,Diversified Financials,-3.574093103788048,3.574093103788048
MKTX.OQ,2022-04-01,Diversified Financials,1.3633669235328931,1.3633669235328931
MKTX.OQ,2022-07-01,Diversified Financials,4.767510300176572,4.767510300176572
MKTX.OQ,2022-10-01,Diversified Financials,5.544422177688708,5.544422177688708
NRG.N,2013-01-01,Utilities,-5.615856536101919,5.615856536101919
NRG.N,2013-04-01,Utilities,174.30555555555557,174.30555555555557
NRG.N,2013-07-01,Utilities,181.6281628162816,181.6281628162816
NRG.N,2013-10-01,Utilities,-44.80441564674826,44.80441564674826
NRG.N,2014-04-01,Utilities,130.9236947791165,130.9236947791165
NRG.N,2014-07-01,Utilities,-296.85039370078744,296.85039370078744
